,x,rel_east_m,rel_north_m,rel_up_m,range_m
0,0.0,1.5467741079869344,0.8890559993346301,-133.0814017056005,133.09335975411585
1,60.0,1.5467741079869344,0.8890559993346301,-118.95275772621625,118.96613594373397
2,120.0,1.4628383861990562,0.8422635781507779,-104.824113746832,104.83770374673412
3,180.0,1.3791773510759782,0.7954711601254871,-90.69546976744664,90.70944350435704
4,240.0,1.2957920809245012,0.748678738941635,-76.56682578806239,76.58144950463281
5,300.0,1.2126836479584688,0.7018863177577828,-62.43818180867925,62.45390134816852
6,360.0,1.1298531231651097,0.6550938965739306,-48.309537829295,48.327188635108286
7,420.0,1.0473015750781998,0.6083014753900784,-34.18089384991075,34.20234459292213
8,480.0,0.9650300697703041,0.5615090542062262,-20.052249870526502,20.083308998358476
9,540.0,0.8830396708450301,0.514716633022374,-5.92360589114225,6.011139577997766
10,600.0,0.8013314394292996,0.46792421183852184,8.205038088242,8.257344317233263
11,660.0,0.7199064341656388,0.42113179065466966,22.33368206762514,22.349249919333175
12,720.0,0.6387657112044801,0.3743393694708175,36.4623260470105,36.46984195682573
13,780.0,0.5579103241964848,0.3275469482869653,50.59097002639475,50.59510647429007
14,840.0,0.4773413242848795,0.2807545271031131,64.7196140057779,64.72198324295418
15,900.0,0.39705976009781035,0.23396210591926092,78.84825798516437,78.84960483106514
16,960.0,0.31706667774071257,0.18716968473540874,92.97690196454973,92.97763098022293
17,1020.0,0.2373631207886979,0.14037726355155655,107.10554594393287,107.10590095309944
18,1080.0,0.1579501302789575,0.09358484236770437,121.23418992331712,121.23432893668897
19,1140.0,0.07882874470318238,0.04679242197349254,135.36283390270137,135.36286494335167
20,1200.0,0.0,0.0,149.4914778820845,149.4914778820845
